strategy,final_value,total_return,cagr,volatility,sharpe,max_drawdown,exposure,trades,fees_paid
Mean reversion,11005.10,0.100510,0.019690,0.124126,0.200164,-0.160933,0.279352,72,729.66
Buy and hold,18683.58,0.868358,0.135711,0.172175,0.813745,-0.244964,0.999190,2,28.69
